simulation,grader_type,linear_score,accuracy,spearman
0,accuracy_80pct,95.0,0.87,0.8478693821300357
0,accuracy_70pct,91.75,0.81,0.7336827791646789
0,accuracy_60pct,89.0,0.72,0.6577668707624247
0,correlation_70pct,82.75,0.44,0.617994173999532
0,correlation_60pct,79.0,0.39,0.44643763018468735
1,accuracy_80pct,94.25,0.83,0.8474546103085716
1,accuracy_70pct,90.75,0.77,0.7358341288529887
1,accuracy_60pct,87.0,0.71,0.5935404751790951
1,correlation_70pct,79.5,0.34,0.5930851235717101
1,correlation_60pct,80.75,0.38,0.5819951231018381
2,accuracy_80pct,94.25,0.83,0.8533771230457645
2,accuracy_70pct,90.75,0.78,0.6678062427116006
2,accuracy_60pct,88.75,0.73,0.6277081643561956
2,correlation_70pct,82.75,0.39,0.6598562103433374
2,correlation_60pct,82.25,0.46,0.5790479820473826
3,accuracy_80pct,92.5,0.82,0.7699829899266212
3,accuracy_70pct,91.5,0.79,0.7320156079927139
3,accuracy_60pct,85.5,0.68,0.5022852451389894
3,correlation_70pct,81.25,0.39,0.5986342877804139
3,correlation_60pct,81.5,0.37,0.6317971434742771
4,accuracy_80pct,93.5,0.85,0.7566610601086173
4,accuracy_70pct,89.75,0.78,0.6574948626634554
4,accuracy_60pct,86.75,0.71,0.5025935525570768
4,correlation_70pct,81.5,0.38,0.5989548031507245
4,correlation_60pct,79.5,0.35,0.527248416188215
5,accuracy_80pct,93.0,0.83,0.7319189385730163
5,accuracy_70pct,91.0,0.8,0.7096089826648309
5,accuracy_60pct,89.5,0.72,0.6813987384944904
5,correlation_70pct,83.5,0.48,0.6762256456637048
5,correlation_60pct,81.75,0.42,0.567715867367283
6,accuracy_80pct,95.5,0.88,0.8901561957785207
6,accuracy_70pct,88.5,0.77,0.6028853661023302
6,accuracy_60pct,89.25,0.71,0.6685206306563323
6,correlation_70pct,82.75,0.42,0.6619367443572692
6,correlation_60pct,81.75,0.44,0.6135704363551497
7,accuracy_80pct,92.0,0.83,0.7417390935453056
7,accuracy_70pct,89.5,0.78,0.642741554701616
7,accuracy_60pct,88.25,0.67,0.6965097210566559
7,correlation_70pct,83.75,0.43,0.6841045324992509
7,correlation_60pct,78.75,0.35,0.5244719439551082
8,accuracy_80pct,95.0,0.87,0.8848302807430594
8,accuracy_70pct,89.5,0.76,0.6616112378568162
8,accuracy_60pct,84.75,0.63,0.5418055671421768
8,correlation_70pct,81.75,0.42,0.6422494734009575
8,correlation_60pct,78.75,0.3,0.5419692046277015
9,accuracy_80pct,94.75,0.88,0.8263584227445514
9,accuracy_70pct,91.0,0.77,0.7178369627368951
9,accuracy_60pct,83.75,0.64,0.4468952421401105
9,correlation_70pct,81.25,0.38,0.5838255285416277
9,correlation_60pct,81.75,0.39,0.6244945751134031
10,accuracy_80pct,94.25,0.84,0.8251419190375991
10,accuracy_70pct,89.25,0.72,0.684338967082569
10,accuracy_60pct,86.75,0.71,0.4966735185241043
10,correlation_70pct,81.75,0.39,0.6098624435975004
