grader_type,sigma,rbf_score,accuracy,spearman
accuracy_80pct,0.1,86.0,0.86,0.7754674591617249
accuracy_70pct,0.1,78.0,0.78,0.6315228557149806
accuracy_60pct,0.1,70.0,0.7,0.6036835816685959
correlation_70pct,0.1,38.0,0.38,0.5661936270618781
correlation_60pct,0.1,42.0,0.42,0.37595003144468503
accuracy_80pct,0.1,84.0,0.84,0.8428869634367165
accuracy_70pct,0.1,81.0,0.81,0.7511713454357328
accuracy_60pct,0.1,73.0,0.73,0.6667283106234599
correlation_70pct,0.1,44.0,0.44,0.6153952126587395
correlation_60pct,0.1,39.0,0.39,0.5780601881459867
accuracy_80pct,0.1,84.0,0.84,0.8094305935583839
accuracy_70pct,0.1,76.0,0.76,0.7237774848989654
accuracy_60pct,0.1,71.0,0.71,0.5788819794026535
correlation_70pct,0.1,39.0,0.39,0.6280973159190939
correlation_60pct,0.1,36.0,0.36,0.6274040144586666
accuracy_80pct,0.1,86.0,0.86,0.8454533683013269
accuracy_70pct,0.1,75.0,0.75,0.6174326829818655
accuracy_60pct,0.1,67.0,0.67,0.6118777516839041
correlation_70pct,0.1,41.0,0.41,0.6040228736068076
correlation_60pct,0.1,37.0,0.37,0.6114936162382094
accuracy_80pct,0.1,83.0,0.83,0.7784293032287162
accuracy_70pct,0.1,75.0,0.75,0.6536753608269351
accuracy_60pct,0.1,72.0,0.72,0.6878728690670588
correlation_70pct,0.1,47.0,0.47,0.6656737715180364
correlation_60pct,0.1,30.0,0.3,0.45961230848922785
accuracy_80pct,0.1,85.0,0.85,0.7862265211733207
accuracy_70pct,0.1,76.0,0.76,0.6742144207787962
accuracy_60pct,0.1,69.0,0.69,0.4701933941191796
correlation_70pct,0.1,51.0,0.51,0.6728268201839984
correlation_60pct,0.1,34.0,0.34,0.45920923921859946
accuracy_80pct,0.1,86.0,0.86,0.851086388642709
accuracy_70pct,0.1,79.0,0.79,0.7191720810105314
accuracy_60pct,0.1,72.0,0.72,0.5320738962670571
correlation_70pct,0.1,39.0,0.39,0.695468896551244
correlation_60pct,0.1,37.0,0.37,0.556659400647143
accuracy_80pct,0.1,84.0,0.84,0.7475914129441992
accuracy_70pct,0.1,74.0,0.74,0.5913843189954928
accuracy_60pct,0.1,70.0,0.7,0.6216017087395221
correlation_70pct,0.1,41.0,0.41,0.5244422572187084
correlation_60pct,0.1,29.0,0.29,0.41251596852047795
accuracy_80pct,0.1,82.0,0.82,0.6857729583732787
accuracy_70pct,0.1,77.0,0.77,0.7653396549328279
accuracy_60pct,0.1,66.0,0.66,0.5526517764748794
correlation_70pct,0.1,38.0,0.38,0.630757195396447
correlation_60pct,0.1,38.0,0.38,0.6191188642605887
accuracy_80pct,0.1,85.0,0.85,0.852616699705691
accuracy_70pct,0.1,84.0,0.84,0.6977235880131709
accuracy_60pct,0.1,72.0,0.72,0.6116874739379689
correlation_70pct,0.1,44.0,0.44,0.5495933004741071
correlation_60pct,0.1,53.0,0.53,0.5351375600996341
accuracy_80pct,0.1,90.0,0.9,0.8409769128193315
accuracy_70pct,0.1,73.0,0.73,0.5767456214915508
accuracy_60pct,0.1,71.0,0.71,0.5927388661115187
correlation_70pct,0.1,47.0,0.47,0.6562918593731475
correlation_60pct,0.1,45.0,0.45,0.4823029697415796
accuracy_80pct,0.1,88.0,0.88,0.7892416828247438
accuracy_70pct,0.1,79.0,0.79,0.6626527541324744
accuracy_60pct,0.1,65.0,0.65,0.5319897290964972
correlation_70pct,0.1,42.0,0.42,0.7286174528235789
correlation_60pct,0.1,39.0,0.39,0.5655233989378895
accuracy_80pct,0.1,85.0,0.85,0.8169991873496043
accuracy_70pct,0.1,79.0,0.79,0.7371950062728626
accuracy_60pct,0.1,69.0,0.69,0.5807813380934301
correlation_70pct,0.1,38.0,0.38,0.56045629857974
correlation_60pct,0.1,33.0,0.33,0.47433963555524483
accuracy_80pct,0.1,83.0,0.83,0.7776773263018094
accuracy_70pct,0.1,75.0,0.75,0.6141379820712287
accuracy_60pct,0.1,73.0,0.73,0.5773027604058963
correlation_70pct,0.1,48.0,0.48,0.6471597415756968
correlation_60pct,0.1,37.0,0.37,0.49303183030188474
accuracy_80pct,0.1,85.0,0.85,0.7384640411959229
accuracy_70pct,0.1,79.0,0.79,0.6001256549843658
accuracy_60pct,0.1,71.0,0.71,0.7277689647909988
correlation_70pct,0.1,40.0,0.4,0.5757276769438493
correlation_60pct,0.1,39.0,0.39,0.507009156232679
accuracy_80pct,0.1,83.0,0.83,0.8307917114522032
accuracy_70pct,0.1,77.0,0.77,0.7371776697663541
accuracy_60pct,0.1,69.0,0.69,0.5818916943279415
correlation_70pct,0.1,40.0,0.4,0.6874909545817117
correlation_60pct,0.1,39.0,0.39,0.43829530365732783
accuracy_80pct,0.1,84.0,0.84,0.8388184187126713
accuracy_70pct,0.1,78.0,0.78,0.6920277909554555
accuracy_60pct,0.1,69.0,0.69,0.5446142535637781
correlation_70pct,0.1,40.0,0.4,0.6174994253400966
correlation_60pct,0.1,44.0,0.44,0.46729145071111333
accuracy_80pct,0.1,87.0,0.87,0.8467048754914231
accuracy_70pct,0.1,76.0,0.76,0.7179213679198311
accuracy_60pct,0.1,73.0,0.73,0.5108224364293318
correlation_70pct,0.1,47.0,0.47,0.5723057949224172
correlation_60pct,0.1,43.0,0.43,0.535505296287431
accuracy_80pct,0.1,81.0,0.81,0.7279341252371524
accuracy_70pct,0.1,77.0,0.77,0.7508207803855658
accuracy_60pct,0.1,69.0,0.69,0.5979472331614938
correlation_70pct,0.1,42.0,0.42,0.6110497593210248
correlation_60pct,0.1,38.0,0.38,0.4622646343082189
accuracy_80pct,0.1,84.0,0.84,0.7842743307867301
accuracy_70pct,0.1,76.0,0.76,0.7399503896470686
accuracy_60pct,0.1,70.0,0.7,0.743669081353039
correlation_70pct,0.1,46.0,0.46,0.6054397566182306
correlation_60pct,0.1,40.0,0.4,0.6272944670746352
accuracy_80pct,0.1,88.0,0.88,0.824294775947644
accuracy_70pct,0.1,73.0,0.73,0.7938798025314432
accuracy_60pct,0.1,70.0,0.7,0.6158472627226793
correlation_70pct,0.1,37.0,0.37,0.5958723919428915
correlation_60pct,0.1,36.0,0.36,0.5167733522234799
accuracy_80pct,0.1,80.0,0.8,0.6820181809731098
accuracy_70pct,0.1,77.0,0.77,0.7765279447473419
accuracy_60pct,0.1,68.0,0.68,0.6641517990952011
correlation_70pct,0.1,41.0,0.41,0.669386996191172
correlation_60pct,0.1,40.0,0.4,0.4869171284800724
accuracy_80pct,0.1,87.0,0.87,0.8699114797519482
accuracy_70pct,0.1,78.0,0.78,0.7320586105837203
accuracy_60pct,0.1,67.0,0.67,0.6126702331772845
correlation_70pct,0.1,44.0,0.44,0.6351499847005939
correlation_60pct,0.1,31.0,0.31,0.5597538954128246
accuracy_80pct,0.1,84.0,0.84,0.7137039716228305
accuracy_70pct,0.1,77.0,0.77,0.6427019391933
accuracy_60pct,0.1,65.0,0.65,0.5767612863500495
