simulation,grader_type,rbf_score,accuracy,spearman
0,accuracy_80pct,87.32863492325357,0.84,0.8194406736709515
0,accuracy_70pct,87.37621852074946,0.83,0.8237384962952674
0,accuracy_60pct,74.90271736594931,0.69,0.5712755370866915
0,correlation_70pct,62.964038058147345,0.48,0.6565327530564367
0,correlation_60pct,54.099179833902284,0.39,0.5641615226650418
1,accuracy_80pct,87.65542564611843,0.84,0.7692663295669633
1,accuracy_70pct,83.37937727826457,0.8,0.7036983486353917
1,accuracy_60pct,80.3795827645792,0.77,0.5984723420065609
1,correlation_70pct,64.16200452028747,0.51,0.665413715986007
1,correlation_60pct,54.4903313358472,0.38,0.44732464616341555
2,accuracy_80pct,88.23051445706132,0.86,0.7922801123646469
2,accuracy_70pct,80.2627541819179,0.74,0.7897476318679315
2,accuracy_60pct,75.59280636486248,0.7,0.655413606048112
2,correlation_70pct,55.37828425670664,0.41,0.5900415077789685
2,correlation_60pct,50.473964964521514,0.34,0.42869767125486785
3,accuracy_80pct,87.95140995307159,0.85,0.8348511285322677
3,accuracy_70pct,82.36249755648655,0.79,0.6542645761420022
3,accuracy_60pct,74.26295991178867,0.68,0.5556677756883049
3,correlation_70pct,57.07934659736763,0.41,0.5832495433690821
3,correlation_60pct,55.89540936955504,0.37,0.5659231748382761
4,accuracy_80pct,87.34541210483773,0.84,0.8722141039000182
4,accuracy_70pct,80.10037563921021,0.76,0.7165658658842537
4,accuracy_60pct,74.85197533567985,0.69,0.5328862685356645
4,correlation_70pct,52.60248111755237,0.34,0.6131938133751255
4,correlation_60pct,43.24855624911401,0.27,0.4001136983518358
5,accuracy_80pct,86.57408252388112,0.84,0.7073202395774845
5,accuracy_70pct,80.39615470340489,0.77,0.6241270458820579
5,accuracy_60pct,77.52538961201732,0.72,0.6528687213638527
5,correlation_70pct,51.8537324768309,0.36,0.5483760194935752
5,correlation_60pct,50.96292898733557,0.32,0.5867559898529058
6,accuracy_80pct,86.62461931139211,0.84,0.7234680615926424
6,accuracy_70pct,80.80439125107168,0.76,0.6552090045603753
6,accuracy_60pct,79.47760060939221,0.75,0.5533706691784923
6,correlation_70pct,53.211226913042836,0.36,0.5356244670328255
6,correlation_60pct,59.66836185888806,0.44,0.5448833678403686
7,accuracy_80pct,84.90392922051109,0.83,0.7047891664463075
7,accuracy_70pct,81.3627028804304,0.78,0.6814401124134776
7,accuracy_60pct,74.6402874221645,0.68,0.603591284763679
7,correlation_70pct,51.602583820117005,0.33,0.5418631006718617
7,correlation_60pct,57.32479411680979,0.42,0.5277388233337157
8,accuracy_80pct,87.32853230187435,0.84,0.8319460563762566
8,accuracy_70pct,80.13393000237856,0.76,0.6713353632038582
8,accuracy_60pct,74.10068399046021,0.7,0.4221361224658035
8,correlation_70pct,53.602378414987754,0.35,0.5668008283021453
8,correlation_60pct,52.30649681059922,0.33,0.6158196466118291
9,accuracy_80pct,86.59106494822377,0.84,0.7305022460734043
